L,M,seed,fc_lo,fc_hi,fc_mid
32,320,20271126,0.7296875,0.731640625,0.7306640625
32,320,20271127,0.6984375,0.700390625,0.6994140625
32,320,20271128,0.876171875,0.878125,0.8771484375
32,320,20271129,0.805859375,0.8078125,0.8068359375
32,320,20271130,0.72578125,0.727734375,0.7267578125
32,320,20271131,0.846875,0.848828125,0.8478515625
32,320,20271132,0.821484375,0.8234375,0.8224609375
32,320,20271133,0.774609375,0.7765625,0.7755859375
32,320,20271134,0.778515625,0.78046875,0.7794921875
32,320,20271135,0.872265625,0.87421875,0.8732421875
32,320,20271136,0.876171875,0.878125,0.8771484375
32,320,20271137,0.821484375,0.8234375,0.8224609375
32,320,20271138,0.794140625,0.79609375,0.7951171875
32,320,20271139,0.969921875,0.971875,0.9708984375
32,320,20271140,0.880078125,0.88203125,0.8810546875
32,320,20271141,0.76875,0.770703125,0.7697265625
32,320,20271142,0.9171875,0.919140625,0.9181640625
32,320,20271143,0.872265625,0.87421875,0.8732421875
32,320,20271144,0.883984375,0.8859375,0.8849609375
32,320,20271145,0.721875,0.723828125,0.7228515625
32,320,20271146,0.751171875,0.753125,0.7521484375
32,320,20271147,0.801953125,0.80390625,0.8029296875
32,320,20271148,0.72578125,0.727734375,0.7267578125
64,736,20271125,0.81171875,0.813671875,0.8126953125
64,736,20271126,0.829296875,0.83125,0.8302734375
64,736,20271127,0.778515625,0.78046875,0.7794921875
64,736,20271128,0.798046875,0.8,0.7990234375
64,736,20271129,0.825390625,0.82734375,0.8263671875
64,736,20271130,0.78828125,0.790234375,0.7892578125
64,736,20271131,0.852734375,0.8546875,0.8537109375
64,736,20271132,0.88984375,0.891796875,0.8908203125
64,736,20271133,0.8546875,0.856640625,0.8556640625
64,736,20271134,0.778515625,0.78046875,0.7794921875
64,736,20271135,0.915234375,0.9171875,0.9162109375
64,736,20271136,0.8390625,0.841015625,0.8400390625
64,736,20271137,0.83515625,0.837109375,0.8361328125
64,736,20271138,0.817578125,0.81953125,0.8185546875
64,736,20271139,0.80390625,0.805859375,0.8048828125
64,736,20271140,0.85859375,0.860546875,0.8595703125
64,736,20271141,0.79609375,0.798046875,0.7970703125
