seed,authority,T,v_rep1,v_rep2,v_rep3,v_mean_within_disorder,max_half_rel_diff
20271101,lo,0.0025,0.2059658722783304,0.2009281283101079,0.21228738438194633,0.20639379499012822,0.11213510922642338
20271101,lo,0.005,0.21338911988813405,0.21337941706084998,0.2203593086220725,0.21570928185701885,0.14865819463402022
20271101,lo,0.01,0.23633944186219372,0.22105931464853082,0.23175719670834452,0.22971865107302303,0.09578681145449738
20271101,lo,0.02,0.2386324891407194,0.25216981452037207,0.24287408430162397,0.2445587959875718,0.11869358854382075
20271101,lo,0.04,0.2633779835195234,0.27149756577255973,0.260931059247681,0.26526886951325473,0.038484234542152496
20271101,lo,0.08,0.2978718074839839,0.303566361865968,0.30330598066952036,0.30158138333982415,0.016755036442242927
20271101,mid,0.0025,0.2177274667784386,0.1997325882443492,0.21168375858624622,0.2097146045363447,0.030464340979455867
20271101,mid,0.005,0.2135085304385981,0.21338022800992804,0.220642273379215,0.21584367727591372,0.14918268980990423
20271101,mid,0.01,0.23418853055905467,0.237534406543279,0.23181196087806827,0.23451163266013397,0.05838518994090176
20271101,mid,0.02,0.23851496971113778,0.2521335665662443,0.24710057084893655,0.24591636904210623,0.11969332769141838
20271101,mid,0.04,0.2645709452422185,0.27013100617126395,0.27044090951949523,0.26838095364432596,0.058704995964477605
20271101,mid,0.08,0.3080992857472744,0.30354348663372177,0.30332401980403956,0.30498893072834526,0.07447260478193889
20271101,hi,0.0025,0.21767115895005892,0.2129740481377354,0.211640344532676,0.2140951838734901,0.03191058434169533
20271101,hi,0.005,0.213272495395343,0.21336013939541426,0.22095493427198057,0.2158625230209126,0.1521830380507322
20271101,hi,0.01,0.23435051731999101,0.23381403408446597,0.2397592513013498,0.2359746009019356,0.07176513039933055
20271101,hi,0.02,0.24698082459914783,0.2519139120593826,0.24707489231497176,0.24865654299116743,0.04957542115531679
20271101,hi,0.04,0.2624844969888217,0.26907531773285603,0.2704093927849693,0.2673230691688824,0.06762669132739109
20271101,hi,0.08,0.308086263694483,0.30345015483434545,0.3027355318777894,0.30475731680220597,0.07517570883508588
20271102,lo,0.0025,0.2408246730932386,0.2208404444377053,0.24079939051830215,0.23415483601641537,0.19594066400689983
20271102,lo,0.005,0.2501290175326446,0.27129052428026534,0.25148189470911314,0.25763381217400766,0.14590977186783122
20271102,lo,0.01,0.2872353031022387,0.28306239156019414,0.2857490159290632,0.2853489035304987,0.011684071740349017
20271102,lo,0.02,0.3258786124210891,0.3090136976797112,0.3277191400702209,0.3208704833903404,0.11317456078418231
20271102,lo,0.04,0.3668146119469504,0.36538418185181537,0.3814254319419025,0.37120807524688937,0.06723228039301625
20271102,lo,0.08,0.41270336575712596,0.42541136954572567,0.42198953876210604,0.4200347580216526,0.03203401880493568
20271102,mid,0.0025,0.24907881602111562,0.25500977971263117,0.24061517046707823,0.24823458873360835,0.19793691858688817
20271102,mid,0.005,0.2518581649131908,0.2716061341834325,0.25113608125283987,0.2582001267831544,0.11282329563975196
20271102,mid,0.01,0.28756435352423726,0.2827180365950183,0.2854532752329843,0.28524522178407996,0.013796238099849846
20271102,mid,0.02,0.3261382647750466,0.311707539050261,0.3266775792040734,0.32150779434312704,0.09721836783129927
20271102,mid,0.04,0.3675452706431484,0.36550182367947803,0.3814001437817767,0.3714824127014677,0.06749155436086395
20271102,mid,0.08,0.4198833617084357,0.4255330371682513,0.4220342908545808,0.42248356324375597,0.04199782762895047
20271102,hi,0.0025,0.2502956237387024,0.2553125374402935,0.2438127161258613,0.24980695910161907,0.22222277325635384
20271102,hi,0.005,0.25175770997764896,0.27274677885102777,0.2507090347200354,0.2584045078495707,0.08365536133624034
20271102,hi,0.01,0.28843509861018546,0.30787360792150353,0.28520777173058126,0.2938388260874234,0.019244970588312087
20271102,hi,0.02,0.3265456601787363,0.33570466148347355,0.3262347121652548,0.32949501127582154,0.0967720683406628
20271102,hi,0.04,0.36873962711638864,0.3656344059777481,0.38115445592699115,0.3718428296737093,0.06808200808182892
20271102,hi,0.08,0.419711004888518,0.4235597066457247,0.4222774372108476,0.42184938291503005,0.042964331196345226
20271103,lo,0.0025,0.20488811449062697,0.1944186037802096,0.1885716728635721,0.19595946371146955,0.09166517123305845
20271103,lo,0.005,0.2070474889353997,0.20635256550683154,0.2064799146598725,0.2066266563673679,0.0477882915993099
20271103,lo,0.01,0.21625996779383042,0.2126482088574331,0.21262015301123177,0.2138427765541651,0.006156402558312738
20271103,lo,0.02,0.23311740162257374,0.22770147699619647,0.2221651669609005,0.22766134852655692,0.09750843147393355
20271103,lo,0.04,0.24336168738812503,0.24688814613216128,0.23971613989780274,0.243321991139363,0.04492418088168994
20271103,lo,0.08,0.28516291223276785,0.28498679515667863,0.281485652159094,0.2838784531828468,0.03183014372642384
20271103,mid,0.0025,0.20583607734506915,0.20122026182937228,0.19392218457525506,0.20032617458323218,0.05949066073948112
20271103,mid,0.005,0.20675879534688,0.20690274063967595,0.20897357627065105,0.20754503741906902,0.031288730157123405
20271103,mid,0.01,0.21911616700459405,0.21632422937468265,0.21285724062421196,0.21609921233449622,0.02699051749723087
20271103,mid,0.02,0.23354338098261687,0.23274907590191787,0.22124253077857095,0.22917832922103523,0.09856733055976821
20271103,mid,0.04,0.25035257179746645,0.24697712230290406,0.24543261052895035,0.2475874348764403,0.020210711923684104
20271103,mid,0.08,0.2844608363918909,0.28504886122134687,0.2859158276492925,0.28514184175417673,0.029900712800855815
20271103,hi,0.0025,0.2059764383847924,0.205374962055954,0.20832629292198837,0.2065592311209116,0.022876559870821652
20271103,hi,0.005,0.20871612325012498,0.20693261995617143,0.20948671898864782,0.20837848739831474,0.03201830613485342
20271103,hi,0.01,0.21732485003973637,0.2167302510406464,0.21665536942178296,0.21690349016738855,0.04525767586547836
20271103,hi,0.02,0.23284332862867307,0.23437910082979235,0.23218613791958742,0.2331361891260176,0.058872921482794584
20271103,hi,0.04,0.2503969686274646,0.24697975347027956,0.2477275719711091,0.2483680980229511,0.017843373289546372
20271103,hi,0.08,0.28543201752121844,0.28517889320501943,0.28593160879399626,0.2855141731734114,0.028956003062842826
20271104,lo,0.0025,0.2855932504711258,0.28237859446927027,0.27940632531611714,0.2824593900855044,0.03909447806533745
20271104,lo,0.005,0.28716342781863285,0.3023540340009241,0.2838777887811094,0.29113175020022214,0.04401776515731765
20271104,lo,0.01,0.3034670774613686,0.3008661051419953,0.2987765356194247,0.3010365727409295,0.04355330789054724
20271104,lo,0.02,0.3147729899815062,0.3112912841329681,0.31165280837428455,0.3125723608295863,0.07074291286329462
20271104,lo,0.04,0.326111763556242,0.34119613322779707,0.34509845973614,0.3374687855067264,0.035969889633430216
20271104,lo,0.08,0.3714575047472296,0.36368578155679776,0.3661288128874443,0.3670906997304906,0.05161477272057865
20271104,mid,0.0025,0.2857803355760916,0.28236967165215937,0.28731813944877316,0.2851560488923414,0.017837063606080516
20271104,mid,0.005,0.29785332036453865,0.30170171422103603,0.2931946671572857,0.2975832339142868,0.04067607486998211
20271104,mid,0.01,0.30342173080520163,0.3008101945611742,0.29941216917839897,0.3012146981815916,0.04195902415701228
