seed,delta_f,T,v_rep1,v_rep2,mean_v,resolved_fraction,max_half_rel_diff
20271101,-0.08,0.02,5.390450784936718e-07,1.2250071413197302e-05,6.394558245845487e-06,0.0,31.837442088338715
20271101,-0.08,0.04,0.053312331022486364,0.026665971156675038,0.039989151089580705,1.0,2.000413632819241
20271101,-0.08,0.06,0.13886275392379108,0.06466338420863389,0.10176306906621249,1.0,0.42220715589398966
20271101,-0.08,0.08,0.18662133760446722,0.12246118260634763,0.15454126010540742,1.0,0.44570534381601473
20271101,-0.08,0.12,0.20652109853731274,0.1873219605600402,0.19692152954867648,1.0,0.17614147626963292
20271102,-0.08,0.02,-1.3325380112422161e-05,5.004419699635794e-06,-4.160480206393183e-06,0.0,6.357057710799522
20271102,-0.08,0.04,0.13225608169505726,0.06648277447099336,0.09936942808302532,1.0,1.931393964806307
20271102,-0.08,0.06,0.2206040341561392,0.22281851457616286,0.221711274366151,1.0,0.09595034995958956
20271102,-0.08,0.08,0.26540244797828316,0.27010415512134084,0.26775330154981203,1.0,0.08611555966057749
20271102,-0.08,0.12,0.32596428601464267,0.32883337587836026,0.32739883094650146,1.0,0.10000463802452199
20271103,-0.08,0.02,0.02666278543081757,0.020743603254312078,0.023703194342564824,1.0,1.9910538793450439
20271103,-0.08,0.04,0.1385851999970116,0.12288684572251844,0.13073602285976502,1.0,0.257097107890287
20271103,-0.08,0.06,0.15852589523994168,0.15293365824825164,0.15572977674409666,1.0,0.06524178896373208
20271103,-0.08,0.08,0.1820071474654297,0.17751766937520916,0.17976240842031943,1.0,0.13806272059701627
20271103,-0.08,0.12,0.21004681746151382,0.2077780299366709,0.20891242369909235,1.0,0.03351375806376818
20271104,-0.08,0.02,-9.162645242116815e-06,0.07358237101236025,0.036786604183559064,0.5,4.2015192324747055
20271104,-0.08,0.04,0.17436698299892509,0.18498893038620873,0.17967795669256692,1.0,0.11143476477769244
20271104,-0.08,0.06,0.23299643122856548,0.22963223423009724,0.23131433272933136,1.0,0.044564405111334096
20271104,-0.08,0.08,0.2623173245273667,0.2500598805306966,0.25618860252903164,1.0,0.042375340500415894
20271104,-0.08,0.12,0.2930083334223263,0.2839930679940088,0.2885007007081676,1.0,0.05182087021008155
20271105,-0.08,0.02,0.02667356946886763,0.07400531997283645,0.05033944472085204,1.0,2.003564621624789
20271105,-0.08,0.04,0.1516920875747884,0.15969309356459324,0.15569259056969081,1.0,0.16814057211001093
20271105,-0.08,0.06,0.19324000709258052,0.20791022523835387,0.2005751161654672,1.0,0.13863365206925995
20271105,-0.08,0.08,0.2220367123381013,0.23051649639115623,0.22627660436462876,1.0,0.07738540744309295
20271105,-0.08,0.12,0.27236738546992567,0.26501824466813145,0.26869281506902853,1.0,0.016847209468699966
20271106,-0.08,0.02,0.007029068597118372,0.006835824338976421,0.006932446468047396,1.0,2.002843201153893
20271106,-0.08,0.04,0.14708893038621132,0.1420386845068797,0.1445638074465455,1.0,0.21797823155478238
20271106,-0.08,0.06,0.16291651816219987,0.17792258608246045,0.17041955212233018,1.0,0.1941431686634579
20271106,-0.08,0.08,0.19529931537273834,0.19434079757135767,0.194820056472048,1.0,0.03752286019564797
20271106,-0.08,0.12,0.2432943477618425,0.233173806512868,0.23823407713735525,1.0,0.0629296601364905
20271107,-0.08,0.02,7.045543594422554e-06,1.0312261018948259e-05,8.678902306685407e-06,0.0,16.323428297376225
20271107,-0.08,0.04,2.2025731157157226e-05,0.026691846435133455,0.013356936083145306,0.5,2.6191359469212254
20271107,-0.08,0.06,0.09084778181690206,0.045827396670490676,0.06833758924369637,1.0,0.6734211010669584
20271107,-0.08,0.08,0.155281403239621,0.12607854857667072,0.14067997590814585,1.0,0.40205742995032995
20271107,-0.08,0.12,0.17479733241277373,0.1822160705692919,0.17850670149103282,1.0,0.04094184602725347
20271108,-0.08,0.02,0.050301134499941884,0.04969644716817356,0.04999879083405773,1.0,0.41341623835205243
20271108,-0.08,0.04,0.1224012205854303,0.11962340407229151,0.12101231232886091,1.0,0.1791391807537132
20271108,-0.08,0.06,0.14846737497602236,0.15731600157463327,0.15289168827532781,1.0,0.0648586582381609
20271108,-0.08,0.08,0.17566963979829994,0.1663818493171242,0.17102574455771208,1.0,0.00991844009313393
20271108,-0.08,0.12,0.19146725273267642,0.188817203681116,0.19014222820689622,1.0,0.0243128060149989
